제품명,링크,가격,평점,등록일,스펙
샤오미 로이드미 EVA,http://prod.danawa.com/info/?pcode=16689497&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,148,000원",,2022.03.,로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 범핑센서 / [성능] 사용시간(개당): 3시간 / 소음: 50dB / [기능] 스마트폰제어: 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / [스테이션] 자동먼지비움 / 자동걸레세척 / 바람건조 / 정수용량: 4L / [부가] 먼지통용량: 0.3L / 물통용량: 0.15L / 색상: 화이트 / 무게: 3.6kg / 크기(가로x세로x깊이): 330x106x330mm
삼성전자 파워봇 VR20M7070WD,http://prod.danawa.com/info/?pcode=4964709&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"974,010원",4.5,2017.03.,로봇청소기 / 흡입전용 / [센서] 카메라1개 / [성능] 사용시간(개당): 1시간30분 / 충전시간: 2시간40분 / 소음: 77dB / [기능] 카펫인지 / 리모컨 / 프리볼트 / [부가] 먼지통용량: 0.3L / 색상: 샤틴골드 / 무게: 4.3kg / 크기(가로x세로x깊이): 340x97x348mm
보아르 RD스핀,http://prod.danawa.com/info/?pcode=13333487&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"89,000원",3.9,2021.02.,로봇청소기 / 흡입+걸레겸용 / [성능] 사용시간(개당): 1시간20분 / 충전시간: 4시간 / [기능] UV살균 / [부가] 색상: 화이트 / 무게: 1.45kg / 크기(가로x세로x깊이): 275x75x290mm
치후360 S7,http://prod.danawa.com/info/?pcode=8221711&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"438,990원",4.8,2019.06.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 자이로센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 2200Pa / 사용시간(개당): 2시간 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / 음성안내 / [부가] 먼지통용량: 0.55L / 물통용량: 0.15L / 색상: 샴페인골드, 블랙 / 무게: 3.68kg / 크기(가로x세로x깊이): 350x100x350mm"
삼성전자 비스포크 슬림 VS15A680DFW + VR30T80313B,http://prod.danawa.com/info/?pcode=16926980&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=102207,"919,080원",,2022.04.,핸디/스틱청소기+로봇청소기세트 / 무선형 / 흡입+걸레겸용 / 흡입력: 150W / [배터리] 내장형 / 충전시간: 4시간 / 사용시간(개당): 50분 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 자동물공급 / 셀프스탠딩 / LED라이트 / [구성] 바닥 / 물걸레 / 틈새 / [부가] 먼지통용량: 0.3L / 색상: 미스티화이트 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1143x194mm / ※ 상품 옵션 확인 후 구매
크레타 G3 CRVC-3,http://prod.danawa.com/info/?pcode=11657879&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"283,220원",4.6,2020.06.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 자이로센서 / 장애물인식센서 / 추락방지센서 / 가속도센서 / [성능] BLDC모터 / 흡입력: 2200Pa / 사용시간(개당): 3시간 / 헤파필터 / 3단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 리모컨 / [부가] 먼지통용량: 0.6L / 물통용량: 0.4L / 색상: 블랙"
bowAI 로봇청소기,http://prod.danawa.com/info/?pcode=10578501&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"21,530원",3.7,2020.02.,"로봇청소기 / 흡입+걸레겸용 / [성능] 흡입력: 1800Pa / 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 40dB / [부가] 먼지통용량: 0.4L / 색상: 블랙, 화이트, 그레이 / 무게: 0.58kg / 크기(가로x세로x깊이): 258x68x258mm"
LG전자 코드제로 로보킹 ThinQ R76,http://prod.danawa.com/info/?pcode=4451471&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,295,000원",4.6,2016.09.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개(상, 하) / 초음파센서 / [성능] 인버터모터 / 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 48dB / [기능] 스마트폰제어: 원격제어, 이동동선확인 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / 리모컨 / [부가] 색상: 오션블랙 / 무게: 3kg / 패드: 초극세사 / 크기(가로x세로x깊이): 340x89x340mm"
유비코퍼레이션 유봇 UB6,http://prod.danawa.com/info/?pcode=11463213&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"34,230원",2.4,2020.06.,로봇청소기 / 흡입+걸레겸용 / [센서] 장애물인식센서 / [성능] BLDC모터 / 사용시간(개당): 1시간30분 / 충전시간: 3시간 / 소음: 65dB / [부가] 색상: 화이트 / 무게: 0.725kg / 크기(가로x세로x깊이): 270x60x270mm
하루랩스 일타삼피 khr-RC01,http://prod.danawa.com/info/?pcode=15498386&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"33,740원",3.6,2021.10.,로봇청소기 / 흡입+걸레겸용 / [성능] 흡입력: 2200Pa / 사용시간(개당): 1시간30분 / 소음: 55dB / [기능] 스마트맵핑 / 문턱등반 / [부가] 먼지통용량: 0.6L / 무게: 0.65kg / 크기(가로x세로x깊이): 280x65x280mm
치후360 S5,http://prod.danawa.com/info/?pcode=7900621&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"399,000원",4.8,2019.05.,"로봇청소기 / 흡입전용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 2000Pa / 사용시간(개당): 1시간40분 / 소음: 65dB / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / [부가] 먼지통용량: 0.55L / 색상: 화이트 / 무게: 3.5kg / 크기(가로x세로x깊이): 350x100x350mm"
치후360 S8 PLUS,http://prod.danawa.com/info/?pcode=16149839&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"552,000원",,2022.01.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 2700Pa / 사용시간(개당): 4사건10분 / 소음: 59dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / [스테이션] 자동먼지비움 / 먼지용량: 4L / [부가] 먼지통용량: 0.35L / 물통용량: 0.3L / 무게: 3.75kg / 크기(가로x세로x깊이): 340x95x340mm"
씽크웨이 ThinkAir RV30,http://prod.danawa.com/info/?pcode=13228988&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,180,000원",4.7,2021.01.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / IR센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 3000Pa / 사용시간(개당): 4시간20분 / 충전시간: 4시간 / 헤파필터 / 3단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / 음성안내 / [부가] 먼지통용량: 0.6L / 물통용량: 0.35L / 색상: 화이트 / 무게: 3.5kg / 크기(가로x세로x깊이): 350x98x350mm"
원더스리빙 원더스 다이나킹 R6,http://prod.danawa.com/info/?pcode=10957221&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"329,000원",4.8,2020.03.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / IR센서 / PSD범퍼 / [성능] BLDC모터 / 흡입력: 2200Pa / 사용시간(개당): 2시간30분 / 헤파필터 / 3단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / [부가] 먼지통용량: 0.35L / 물통용량: 0.3L / 무게: 3.2kg / 크기(가로x세로x깊이): 350x100x350mm"
샤오미 HUTT W600,http://prod.danawa.com/info/?pcode=15191684&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"203,920원",5.0,2021.09.,로봇청소기 / 유리청소 / [센서] 추락방지센서 / [성능] BLDC모터 / 흡입력: 2600Pa / 소음: 65dB / [기능] 스마트맵핑 / 리모컨 / 낙하방지로프 / [부가] 색상: 화이트 / 무게: 7kg / 흡입력자동조절 / 크기(가로x세로x깊이): 248x76.5x248mm
Neatsvor S600,http://prod.danawa.com/info/?pcode=16551317&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"460,581원",5.0,2022.03.,로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / [성능] 사용시간(개당): 2시간30분 / 헤파필터 / [기능] 스마트폰제어: 금지구역 / 스마트맵핑 / 문턱등반 / 음성안내 / 음성인식 / [스테이션] 자동먼지비움 / [부가] 먼지통용량: 0.6L / 색상: 화이트
삼성전자 파워봇 VR10M7020UW,http://prod.danawa.com/info/?pcode=8303376&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"350,550원",5.0,2019.07.,로봇청소기 / 흡입전용 / [센서] 카메라1개 / [성능] 사용시간(개당): 1시간 / 충전시간: 4시간 / 소음: 72dB / [기능] 카펫인지 / 자동충전 / 리모컨 / 프리볼트 / [부가] 먼지통용량: 0.3L / 색상: 에어본 / 무게: 4kg / 크기(가로x세로x깊이): 340x97x348mm
삼성전자 비스포크 제트 VS20B956AXE + VR50T95936C,http://prod.danawa.com/info/?pcode=17071547&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=102207,"1,599,000원",,2022.05.,핸디/스틱청소기+로봇청소기세트 / 무선형 / 흡입+걸레겸용 / 흡입력: 220W / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간(개당): 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 자동물공급 / 디스플레이표시창 / LED라이트 / 배터리잔량표시 / IoT기능 / 자동먼지비움 / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 청정스테이션 / [부가] 먼지통용량: 0.5L / 색상: 산토리니베이지 / 크기(가로x세로x깊이): 250x930x202mm / ※ 상품 옵션 확인 후 구매
단후이 NR15 (2021년형),http://prod.danawa.com/info/?pcode=13046951&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"316,480원",4.7,2021.01.,"로봇청소기 / 흡입+걸레겸용 / [센서] 자이로센서 / 추락방지센서 / [성능] 사용시간(개당): 3시간 / 충전시간: 5시간 / 헤파필터 / 3단계여과 / 소음: 55dB / [기능] 문턱등반 / 카펫인지 / 자동충전 / 리모컨 / [부가] 먼지통용량: 0.45L / 물통용량: 0.3L / 색상: 블랙, 화이트 / 크기(가로x세로x깊이): 310x76x310mm"
기펠 GFR-1121G,http://prod.danawa.com/info/?pcode=15729131&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"306,850원",,2021.11.,"로봇청소기 / 흡입+걸레겸용 / [센서] 자이로센서 / [성능] BLDC모터 / 사용시간(개당): 1시간30분 / 충전시간: 6시간 / [기능] 스마트폰제어: 원격제어, 이동동선확인 / 자동충전 / 리모컨 / [부가] 무게: 3kg / 크기(가로x세로x깊이): 330x80x330mm"
엠지텍 트윈보스 S9,http://prod.danawa.com/info/?pcode=10953459&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"299,000원",4.4,2020.03.,로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / [성능] BLDC모터 / 사용시간(개당): 2시간30분 / 충전시간: 4시간 / 헤파필터 / 소음: 65dB / [기능] 스마트폰제어: 원격제어 / 스마트맵핑 / 문턱등반 / 자동충전 / [부가] 먼지통용량: 0.6L / 물통용량: 0.56L / 색상: 화이트 / 무게: 3.3kg / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 353x95x353mm
라이스타 RX9 플러스,http://prod.danawa.com/info/?pcode=9893457&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"279,000원",4.7,2019.11.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / IR센서 / PSD범퍼 / 가속도센서 / 범핑센서 / 스마트센서 / [성능] BLDC모터 / 사용시간(개당): 1시간40분 / 충전시간: 5시간 / 헤파필터 / 소음: 58dB / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / 리모컨 / 프리볼트 / [부가] 먼지통용량: 0.475L / 물통용량: 0.22L / 색상: 스노우화이트 / 크기(가로x세로x깊이): 325x96x325mm"
에브리봇 RS500,http://prod.danawa.com/info/?pcode=3672476&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"499,990원",4.7,2016.01.,로봇청소기 / 걸레전용 / [센서] 장애물인식센서 / 추락방지센서 / 조도센서 / 스마트센서 / [성능] 사용시간(개당): 1시간 / 충전시간: 2시간30분 / [기능] 리모컨 / [부가] 무게: 1.9kg / S자청소 / 핸디청소 / 패드: 극세사 / 크기(가로x세로x깊이): 368x141x201mm
Explorer IS25,http://prod.danawa.com/info/?pcode=15648809&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"23,320원",4.3,2021.11.,로봇청소기 / 흡입+걸레겸용 / [센서] 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 1800Pa / 사용시간(개당): 1시간30분 / 충전시간: 3시간 / 소음: 55dB / [기능] 문턱등반 / [부가] 무게: 0.58kg / 크기(가로x세로x깊이): 250x60x250mm
에코백스 디봇 오즈모 T8 AIVI,http://prod.danawa.com/info/?pcode=11513060&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"459,000원",4.8,2020.06.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라1개 / ToF센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 1500Pa / 사용시간(개당): 3시간 / 충전시간: 6시간30분 / 헤파필터 / 3단계여과 / 소음: 67dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원 / 스마트맵핑 / 카펫인지 / 자동충전 / 음성안내 / [부가] 먼지통용량: 0.42L / 물통용량: 0.24L / 색상: 블랙 / 무게: 4.6kg / 크기(가로x세로x깊이): 353x93.6x353mm"
삼성전자 파워봇 VR10M7010U5,http://prod.danawa.com/info/?pcode=5660678&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"2,717,000원",4.4,2017.11.,로봇청소기 / 흡입전용 / [센서] 카메라1개 / [성능] 사용시간(개당): 30분~1시간 / 충전시간: 4시간 / 소음: 72dB / [기능] 스마트폰제어: 원격제어 / 카펫인지 / [부가] 먼지통용량: 0.3L / 색상: 스톰트루퍼 / 무게: 4kg / 크기(가로x세로x깊이): 340X97x348mm
LG전자 코드제로 로보킹 ThinQ R76STM + M970I,http://prod.danawa.com/info/?pcode=12582056&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,142,660원",5.0,2020.10.,"로봇청소기+로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개 / 초음파센서 / [성능] 인버터모터 / 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 52dB / [기능] 스마트폰제어: 원격제어, 실시간영상 / 문턱등반 / 자동충전 / 리모컨 / [부가] 색상: 판타지실버 / 무게: 3kg / 크기(가로x세로x깊이): 340x89x340mm / [M970I] 로봇청소기 / 걸레전용 / 충전시간: 3시간 / 사용시간: 1시간40분 / 리모컨 / 자동충전 / 자기위치메모리 / 크기(가로x세로x깊이): 280x89x280mm"
에이스전자 ARW-C100,http://prod.danawa.com/info/?pcode=5540075&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"241,580원",4.8,2017.10.,"로봇청소기 / 흡입+걸레겸용 / [센서] 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 사용시간(개당): 2시간 / 충전시간: 5시간 / 헤파필터 / [기능] 문턱등반 / 자동충전 / 리모컨 / [부가] 먼지통용량: 0.3L / 색상: 화이트, 블랙, 블루 / 무게: 2.5kg / 패드: 극세사 / 크기(가로x깊이): 310x72x310mm"
J4dtcv1Sxk,/ajax/productPot.ajax.php?key=J4dtcv1Sxk,588298원,,,J4dtcv1Sxk588298
유진로봇 아이클레보 G3 YCR-M11-20,http://prod.danawa.com/info/?pcode=14622038&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"139,000원",4.7,2021.06.,로봇청소기 / 흡입+걸레겸용 / [센서] 추락방지센서 / [성능] 사용시간(개당): 1시간30분 / 충전시간: 3시간 / 소음: 71dB / [기능] 프리볼트 / [부가] 먼지통용량: 0.2L / 색상: 오렌지 / 무게: 1.6kg / 크기(가로x세로x깊이): 280x79x280mm
샤오미 BG-ES-300,http://prod.danawa.com/info/?pcode=14337947&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"47,120원",,2021.06.,"로봇청소기 / 흡입+걸레겸용 / [센서] 추락방지센서 / [성능] 사용시간(개당): 1시간30분 / 충전시간: 3시간 / [기능] 문턱등반 / [부가] 색상: 화이트, 핑크화이트 / 크기(가로x세로x깊이): 320x70x320mm"
샤오미 미지아 프로,http://prod.danawa.com/info/?pcode=14712467&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"389,000원",4.0,2021.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 3D센서 / 흡입력: 4000Pa / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 음성인식 / [부가] 먼지통용량: 0.55L / 물통용량: 0.26L / 크기(가로x세로x깊이): 353x96x353mm"
로보락 S7 MaxV Plus + Dyad,http://prod.danawa.com/info/?pcode=17070167&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,788,820원",,2022.05.,"로봇청소기+물걸레청소기세트 / 흡입+걸레겸용 / [센서] 카메라2개 / LDS라이다센서 / 3D센서 / 장애물인식센서 / [성능] 흡입력: 5100Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / 소음: 67dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인, 실시간영상, 3D맵핑 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 물걸레자동리프팅 / 음성안내 / 음성인식 / [스테이션] 자동먼지비움 / 먼지용량: 1.5L / [부가] 먼지통용량: 0.47L / 물통용량: 0.2L / 색상: 블랙, 화이트 / 무게: 4.7kg / 크기(가로x세로x깊이): 353x96.5x350mm / ※ 상품 옵션 확인 후 구매"
유진로봇 아이클레보 지니 G5 YCR-M09-10W,http://prod.danawa.com/info/?pcode=8792258&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"291,470원",4.8,2019.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] 자이로센서 / 장애물인식센서 / 추락방지센서 / [성능] 사용시간(개당): 1시간40분 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 이동동선확인 / 문턱등반 / 자동충전 / 음성안내 / 리모컨 / 프리볼트 / [부가] 색상: 퓨어화이트 / 무게: 2.3kg / 크기(가로x세로x깊이): 335x79x335mm"
유진로봇 아이클레보 지니 G5 프라임 YCR-M09-11A,http://prod.danawa.com/info/?pcode=14728406&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"282,370원",4.6,2021.07.,"로봇청소기 / 흡입+걸레겸용 / [센서] 자이로센서 / 장애물인식센서 / 추락방지센서 / [성능] 사용시간(개당): 1시간40분 / 충전시간: 5시간 / 3단계여과 / 소음: 56.8dB / 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 자동충전 / 음성안내 / 리모컨 / [부가] 먼지통용량: 0.23L / 물통용량: 0.22L / 색상: 퓨어화이트 / 무게: 2.3kg / 크기(가로x세로x깊이): 335x79x335mm"
나르왈 T10,http://prod.danawa.com/info/?pcode=13650131&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"922,900원",4.8,2021.03.,로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / [성능] 흡입력: 1800Pa / 사용시간(개당): 3시간 / 충전시간: 2시간30분 / 소음: 45dB / [기능] 스마트폰제어: 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / 음성안내 / [스테이션] 자동걸레세척 / 바람건조 / 정수용량: 5L / [부가] 먼지통용량: 0.4L / 색상: 화이트 / 무게: 3.6kg / 크기(가로x세로x깊이): 314x107x345mm
아이뮤즈 클링봇,http://prod.danawa.com/info/?pcode=10230399&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"327,300원",4.7,2019.12.,로봇청소기 / 유리청소 / [센서] IR센서 / [성능] 흡입력: 2400Pa / 충전시간: 2시간30분 / [기능] 리모컨 / 낙하방지로프 / [부가] 색상: 그레이 / 무게: 1.142kg / 패드: 극세사 / 크기(가로x세로): 270x85mm
기펠 KK290-B,http://prod.danawa.com/info/?pcode=6278794&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"380,000원",,2018.07.,로봇청소기 / 흡입전용 / [센서] 추락방지센서 / 범핑센서 / [성능] 사용시간(개당): 40분~1시간 / 충전시간: 4~6시간 / 헤파필터 / [기능] 문턱등반 / 리모컨 / 크기(가로x세로x깊이): 290x70x290mm
마미봇 MMB-380,http://prod.danawa.com/info/?pcode=6164160&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"246,900원",4.3,2018.05.,"로봇청소기 / 흡입+걸레겸용 / [센서] 자이로센서 / 추락방지센서 / IR센서 / [성능] 사용시간(개당): 4시간 / 충전시간: 4시간 / [부가] 물통용량: 0.1L / 색상: 실버, 로즈골드 / 무게: 1.85kg / 크기(가로x세로x깊이): 220x79x245mm"
샤오미 드리미 D9 Max,http://prod.danawa.com/info/?pcode=15241112&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"289,510원",4.0,2021.09.,로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 4000Pa / 스마트폰제어: 금지구역 / 문턱등반 / 자동충전 / [부가] 먼지통용량: 0.57L / 물통용량: 0.27L
스위스밀리터리 싱크아이 SMA-TI850,http://prod.danawa.com/info/?pcode=11262843&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"159,800원",4.5,2020.05.,로봇청소기 / 흡입+걸레겸용 / [센서] 장애물인식센서 / 추락방지센서 / [성능] DC모터 / 흡입력: 550Pa / 사용시간(개당): 1시간 / 충전시간: 4시간 / [기능] 리모컨 / [부가] 먼지통용량: 0.3L / 색상: 화이트
스마트클린 로봇 청소기3,http://prod.danawa.com/info/?pcode=7134547&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"22,970원",4.2,2019.01.,로봇청소기 / 흡입전용 / 사용시간(개당): 1시간 / [부가] 색상: 블랙 / 크기(가로x세로): 300x180mm
LG전자 오브제컬렉션 코드제로 ThinQ R9 RO971GA + MO971WA,http://prod.danawa.com/info/?pcode=16233833&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,469,990원",,2022.01.,"로봇청소기+로봇청소기세트 / 흡입전용+걸레전용 / [센서] 카메라1개 / 3D센서 / 추락방지센서 / 범핑센서 / [성능] 스마트인버터모터 / 사용시간(개당): 1시간 / 충전시간: 4시간 / 5단계여과 / 소음: 44dB / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상, 스마트페어링 / 스마트맵핑 / 문턱등반 / 카펫인지 / 음성안내 / 음성인식 / 리모컨 / [부가] 물통용량: 0.3L / 색상: 카밍그린 / 무게: 4.2kg / 64비트쿼드코어CPU / 크기(가로x세로x깊이): 286x143x330mm / ※ 상품 옵션 확인 후 구매"
테스워 S4 Plus,http://prod.danawa.com/info/?pcode=16765472&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"355,060원",4.8,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / 범핑센서 / [성능] BLDC모터 / 흡입력: 2200Pa / 사용시간(개당): 1시간40분 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 자동충전 / 자기위치메모리 / 음성안내 / 리모컨 / [스테이션] 자동먼지비움 / 먼지용량: 2.8L / [부가] 먼지통용량: 0.6L / 물통용량: 0.35L / 무게: 4.8kg / 크기(가로x세로x깊이): 340x98x340mm"
LG전자 오브제컬렉션 코드제로 ThinQ R9 RO971WA + MO971GA,http://prod.danawa.com/info/?pcode=16233839&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,469,990원",,2022.01.,"로봇청소기+로봇청소기세트 / 흡입전용+걸레전용 / [센서] 카메라1개 / 3D센서 / 추락방지센서 / 범핑센서 / [성능] 스마트인버터모터 / 사용시간(개당): 1시간 / 충전시간: 4시간 / 5단계여과 / 소음: 44dB / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상, 스마트페어링 / 스마트맵핑 / 문턱등반 / 카펫인지 / 음성안내 / 음성인식 / 리모컨 / [부가] 물통용량: 0.3L / 색상: 카밍베이지 / 무게: 4.2kg / 64비트쿼드코어CPU / 크기(가로x세로x깊이): 286x143x330mm / ※ 상품 옵션 확인 후 구매"
