제품명,링크,가격,평점,등록일,스펙
에코백스 디봇 X1 OMNI,http://prod.danawa.com/info/?pcode=16566839&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,590,000원",4.9,2021.12.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라1개 / ToF센서 / 3D센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 5000Pa / 사용시간(개당): 3시간 / 충전시간: 6시간 / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상, 3D맵핑 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 음성안내 / 음성인식 / [스테이션] 자동먼지비움 / 자동걸레세척 / 바람건조 / 물통자동급수 / 먼지용량: 2.5L / 정수용량: 4L / [부가] 먼지통용량: 0.4L, 스테이션 2.5L / 물통용량: 0.8L / 색상: 블랙 / 크기(가로x세로x깊이): 362x103.5x362mm"
엠지텍 트윈보스 S9 PRO MASTER,http://prod.danawa.com/info/?pcode=13943729&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"598,990원",4.7,2021.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / LDS라이다센서 / 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 3300Pa / 사용시간(개당): 4시간10분 / 충전시간: 4시간30분 / 헤파필터 / 3단계여과 / 소음: 67dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / 리모컨 / [스테이션] 자동먼지비움 / [부가] 먼지통용량: 0.45L / 물통용량: 0.3L / 색상: 화이트 / 무게: 3.6kg / 크기(가로x세로x깊이): 350x99x350mm"
미홀 C66S,http://prod.danawa.com/info/?pcode=15047528&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"78,450원",4.6,2021.09.,로봇청소기 / 유리청소 / [성능] BLDC모터 / 흡입력: 5600Pa / [기능] 리모컨 / 물분사 / 낙하방지로프 / [부가] 색상: 화이트 / 패드: 극세사(벨크로형)
원더스리빙 원더스 다이나킹 R9,http://prod.danawa.com/info/?pcode=10307382&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"199,000원",4.8,2020.01.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 장애물인식센서 / 추락방지센서 / IR센서 / PSD범퍼 / [성능] BLDC모터 / 흡입력: 2600Pa / 사용시간(개당): 3시간 / 충전시간: 5시간 / 헤파필터 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 음성안내 / 프리볼트 / [부가] 먼지통용량: 0.3L / 물통용량: 0.18L / 무게: 3.3kg / 크기(가로x세로x깊이): 350x94.5x350mm"
이노스 pureview W5,http://prod.danawa.com/info/?pcode=16502300&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"166,470원",,2022.03.,로봇청소기 / 유리청소 / [센서] 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 2800Pa / 소음: 65dB / [기능] 스마트폰제어: 원격제어 / 스마트맵핑 / 리모컨 / 물분사 / 낙하방지로프 / [부가] 색상: 블랙 / 무게: 1.5kg / 크기(가로x세로x깊이): 250x80x250mm
샤오미 미지아 스마트 로봇 청소기 1S,http://prod.danawa.com/info/?pcode=7784467&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"160,880원",4.7,2019.04.,"로봇청소기 / 흡입전용 / [센서] LDS라이다센서 / 자이로센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 2000Pa / 사용시간(개당): 2시간30분 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인 / 스마트맵핑 / 자동충전 / 프리볼트 / [부가] 색상: 화이트 / 무게: 3.8kg / 크기(가로x세로x깊이): 350x96x350mm"
원더스리빙 다이나킹 R21,http://prod.danawa.com/info/?pcode=16998377&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"399,000원",4.9,2022.05.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 2700Pa / 사용시간(개당): 3시간 / 헤파필터 / 소음: 58dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / [스테이션] 자동먼지비움 / 먼지용량: 4L / [부가] 먼지통용량: 0.35L / 물통용량: 0.3L / 색상: 화이트 / 무게: 3.15kg / 크기(가로x세로x깊이): 340x95x340mm"
LG전자 코드제로 ThinQ M9 M971,http://prod.danawa.com/info/?pcode=16149821&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"472,000원",4.7,2022.01.,"로봇청소기 / 걸레전용 / [센서] 카메라2개 (상,하) / ToF센서 / 장애물인식센서 / 범핑센서 / [성능] 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 44dB / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상 / 스마트맵핑 / 자동충전 / 자기위치메모리 / 물분사 / [부가] 물통용량: 0.3L / 색상: 아이언그레이 / 무게: 2.3kg / 크기(가로x세로x깊이): 280x89x280mm"
샤오미 HUTT C6,http://prod.danawa.com/info/?pcode=16149824&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"259,650원",4.6,2022.01.,로봇청소기 / 유리청소 / [성능] 흡입력: 3800Pa / [기능] 물분사 / [부가] 물통용량: 0.08L / 색상: 화이트
레노버 LR1,http://prod.danawa.com/info/?pcode=13278074&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"399,000원",4.7,2020.05.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 자이로센서 / 장애물인식센서 / 추락방지센서 / BLDC모터 / 흡입력: 2700Pa / 사용시간(개당): 3시간55분 / 소음: 54dB / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / [스테이션] 자동먼지비움 / 먼지용량: 2.8L / [부가] 먼지통용량: 0.4L / 물통용량: 0.11L / 색상: 화이트+샴페인골드 / 무게: 3.6kg / 크기(가로x세로x깊이): 350x98x350mm"
