제목,URL
파이썬 소개,https://cs.kangwon.ac.kr/~leeck/IR/0-1_python_intro.pdf
파이썬 언더스코어(_)에 대하여,https://mingrammer.com/underscore-in-python/
Python Tutorial - W3Schools,https://www.w3schools.com/python/
Online Python Compiler (Interpreter) - Programiz,https://www.programiz.com/python-programming/online-compiler/
[IT열쇳말] 파이썬 - 블로터,https://www.bloter.net/newsView/blt201609220001
PyPI · The Python Package Index,https://pypi.org/
파이썬-초급-백준-2753번-윤년 | 2753 파이썬 업데이트,https://ko.nataviguides.com/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%B4%88%EA%B8%89-%EB%B0%B1%EC%A4%80-2753%EB%B2%88-%EC%9C%A4%EB%85%84-2753-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8/
엑셀의 한계를 느낄때 (R 파이썬 환승의 이유) - 애플경제,http://www.apple-economy.com/news/articleView.html?idxno=69568
KTds UNIVERSITY 국가인적자원개발 컨소시엄,https://edu.ktdsuniversity.com/
파이썬 네이버 웹 스크래핑 Naver Blog Web Scraping With ...,https://ko.maxfit.vn/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%84%A4%EC%9D%B4%EB%B2%84-%EC%9B%B9-%EC%8A%A4%ED%81%AC%EB%9E%98%ED%95%91-naver-blog-web-scraping-with-python-%ED%95%9C%EA%B8%80%EC%9E%90%EB%A7%89-%ED%8C%8C%EC%9D%B4/
데이터가 서말이라도 '쉬워야' 꿴다··· 전천후 멀티툴 '파이썬'이 뜬다,https://bbs.ruliweb.com/pc/board/300006/read/2255272
Python Online Compiler & Interpreter - Replit,https://replit.com/languages/python3
PyCharm: the Python IDE for Professional Developers by ...,https://www.jetbrains.com/pycharm/
"심사평가원, 데이터·AI 분석 사례 책자 발간·배포 - MedigateNews",https://m.medigatenews.com/news/2494640187
"Visualize code in Python, JavaScript, C, C++, and Java",https://pythontutor.com/visualize.html
Anaconda Distribution,https://www.anaconda.com/products/distribution
"INNER, LEFT, RIGHT, FULL, CROSS, SELF JOIN - Everly's ...",https://suy379.tistory.com/105
Jython: Home,https://www.jython.org/
"Online Python - IDE, Editor, Compiler, Interpreter",https://www.online-python.com/
SQLAlchemy - The Database Toolkit for Python,https://sqlalchemy.org/
아진엑스텍,http://www.ajinextek.com/
Project Jupyter | Home,https://jupyter.org/
"DataCamp: Learn R, Python & Data Science Online",https://www.datacamp.com/
Twisted Python,https://twistedmatrix.com/
Matplotlib 3.5.2 documentation,https://matplotlib.org/stable/index.html
"빅데이터전문가, 파이썬(머신러닝, 딥러닝), 자바, AI(인공지능) 4 ...",http://m.edu.donga.com/news/view.php?at_no=20220527142443516349
카페24 호스팅센터,https://hosting.cafe24.com/
Executing multiple functions simultaneously - Python - Stack ...,https://stackoverflow.com/questions/18864859/executing-multiple-functions-simultaneously
Atomic Simulation Environment — ASE documentation,https://wiki.fysik.dtu.dk/ase/
Ternary Operator in Python - GeeksforGeeks,https://www.geeksforgeeks.org/data-types/
Solo Learn (Python) - Courses | Sololearn,https://www.sololearn.com/learning/1073
2021년 상위 10개 프로그래밍 언어 - Laptop28,https://laptop28.com/ko/2021%EB%85%84-%EC%83%81%EC%9C%84-10%EA%B0%9C-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%EC%96%B8%EC%96%B4
